month,day,year,temp[c]
9,1,1815,14.623
10,1,1815,8.723
11,1,1815,3.945
12,1,1815,-5.6850000000000005
1,1,1816,-2.826
2,1,1816,-6.329999999999999
3,1,1816,1.8869999999999998
4,1,1816,7.918999999999999
5,1,1816,14.768
6,1,1816,19.427
7,1,1816,19.796000000000003
8,1,1816,19.313999999999997
9,1,1816,15.101000000000003
10,1,1816,6.490999999999999
11,1,1816,3.338000000000001
12,1,1816,-4.198
1,1,1817,-2.8059999999999996
2,1,1817,-0.6230000000000008
3,1,1817,2.691000000000001
4,1,1817,5.894000000000001
5,1,1817,13.968000000000002
6,1,1817,18.213
7,1,1817,21.927
8,1,1817,22.84
9,1,1817,13.458000000000002
10,1,1817,5.2509999999999994
11,1,1817,1.7270000000000016
12,1,1817,-2.412
1,1,1818,-4.672000000000001
2,1,1818,-2.1029999999999998
3,1,1818,3.902000000000001
4,1,1818,10.980000000000002
6,1,1818,18.603
7,1,1818,21.065
8,1,1818,20.509000000000004
9,1,1818,14.854000000000001
10,1,1818,7.896000000000001
11,1,1818,2.4409999999999994
12,1,1818,-3.579
1,1,1819,-3.936000000000001
2,1,1819,-2.9109999999999996
3,1,1819,2.2030000000000016
4,1,1819,9.251000000000001
5,1,1819,13.855
6,1,1819,19.062
7,1,1819,20.178000000000004
8,1,1819,20.124999999999996
9,1,1819,16.475
10,1,1819,10.729
11,1,1819,3.863999999999999
12,1,1819,-4.456000000000001
1,1,1820,-6.477
2,1,1820,-4.835999999999999
3,1,1820,1.1460000000000017
4,1,1820,9.774000000000003
5,1,1820,16.369
6,1,1820,18.163
7,1,1820,19.507
8,1,1820,20.953000000000003
9,1,1820,14.849000000000002
10,1,1820,8.077000000000002
11,1,1820,2.6039999999999983
12,1,1820,-3.6249999999999996
1,1,1821,-2.474999999999999
2,1,1821,-4.511000000000001
3,1,1821,1.2680000000000016
4,1,1821,10.224
5,1,1821,16.64
6,1,1821,16.998
7,1,1821,19.787000000000003
9,1,1821,14.439000000000002
10,1,1821,7.922
11,1,1821,2.7030000000000007
12,1,1821,0.5679999999999986
1,1,1822,-1.6939999999999995
2,1,1822,-2.670000000000001
3,1,1822,2.678
4,1,1822,9.706
5,1,1822,14.207999999999998
6,1,1822,18.619000000000003
7,1,1822,21.689
8,1,1822,19.968999999999998
9,1,1822,14.385000000000002
10,1,1822,9.129000000000001
11,1,1822,3.189000000000001
12,1,1822,-4.297000000000001
1,1,1823,-7.492000000000001
2,1,1823,-1.9589999999999996
